Nr. ,Name ,Wahlbe rechtigte,abgegeb. ,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,NEOS Stimmen,NEOS Ant. %,JETZT Stimmen,JETZT Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,KPÖ Stimmen,KPÖ Ant. %,SLP Stimmen,SLP Ant. %,WANDL Stimmen,WANDL Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40418,Lengau,3611,2243,62.119999999999997,64,2.8500000000000001,2179,97.150000000000006,927,42.539999999999999,480,22.030000000000001,445,20.420000000000002,108,4.96,28,1.28,158,7.25,18,0.82999999999999996,1,0.050000000000000003,14,0.64000000000000001,29.09.2019,16:00:21,29.09.2019,16:00:21
40419,Lochen,2183,1480,67.799999999999997,28,1.8899999999999999,1452,98.109999999999999,725,49.93,145,9.9900000000000002,331,22.800000000000001,94,6.4699999999999998,17,1.1699999999999999,120,8.2599999999999998,10,0.68999999999999995,0,0,10,0.68999999999999995,29.09.2019,14:51:08,29.09.2019,14:51:08
40420,Maria Schmolln,1180,735,62.289999999999999,10,1.3600000000000001,725,98.640000000000001,407,56.140000000000001,77,10.619999999999999,123,16.969999999999999,34,4.6900000000000004,10,1.3799999999999999,66,9.0999999999999996,4,0.55000000000000004,0,0,4,0.55000000000000004,29.09.2019,13:48:40,29.09.2019,13:48:40
40421,Mattighofen,3753,2094,55.799999999999997,33,1.5800000000000001,2061,98.420000000000002,699,33.920000000000002,544,26.390000000000001,451,21.879999999999999,116,5.6299999999999999,32,1.55,201,9.75,11,0.53000000000000003,2,0.10000000000000001,5,0.23999999999999999,29.09.2019,15:42:35,29.09.2019,15:42:35
40422,Mauerkirchen,1645,845,51.369999999999997,7,0.82999999999999996,838,99.170000000000002,300,35.799999999999997,175,20.879999999999999,210,25.059999999999999,72,8.5899999999999999,11,1.3100000000000001,62,7.4000000000000004,4,0.47999999999999998,1,0.12,3,0.35999999999999999,29.09.2019,16:00:33,29.09.2019,16:00:33
40423,Mining,982,616,62.729999999999997,4,0.65000000000000002,612,99.349999999999994,290,47.390000000000001,96,15.69,109,17.809999999999999,35,5.7199999999999998,5,0.81999999999999995,74,12.09,1,0.16,0,0,2,0.33000000000000002,29.09.2019,15:29:37,29.09.2019,15:29:37
40424,Moosbach,773,499,64.549999999999997,10,2,489,98,207,42.329999999999998,50,10.220000000000001,165,33.740000000000002,25,5.1100000000000003,4,0.81999999999999995,35,7.1600000000000001,1,0.20000000000000001,1,0.20000000000000001,1,0.20000000000000001,29.09.2019,13:17:48,29.09.2019,13:17:48
40425,Moosdorf,1295,823,63.549999999999997,13,1.5800000000000001,810,98.420000000000002,309,38.149999999999999,205,25.309999999999999,187,23.09,30,3.7000000000000002,11,1.3600000000000001,61,7.5300000000000002,6,0.73999999999999999,0,0,1,0.12,29.09.2019,14:09:33,29.09.2019,14:09:33
40426,Munderfing,2276,1416,62.210000000000001,34,2.3999999999999999,1382,97.599999999999994,594,42.979999999999997,278,20.120000000000001,295,21.350000000000001,80,5.79,17,1.23,113,8.1799999999999997,0,0,0,0,5,0.35999999999999999,29.09.2019,14:51:17,29.09.2019,14:51:17
40427,Neukirchen an der Enknach,1748,1150,65.790000000000006,21,1.8300000000000001,1129,98.170000000000002,530,46.939999999999998,165,14.609999999999999,270,23.91,66,5.8499999999999996,10,0.89000000000000001,78,6.9100000000000001,4,0.34999999999999998,0,0,6,0.53000000000000003,29.09.2019,14:26:54,29.09.2019,14:26:54
40428,Ostermiething,2435,1413,58.030000000000001,31,2.1899999999999999,1382,97.810000000000002,752,54.409999999999997,152,11,232,16.789999999999999,70,5.0700000000000003,22,1.5900000000000001,141,10.199999999999999,6,0.42999999999999999,0,0,7,0.51000000000000001,29.09.2019,15:27:58,29.09.2019,17:13:51
40429,Palting,796,514,64.569999999999993,11,2.1400000000000001,503,97.859999999999999,278,55.270000000000003,45,8.9499999999999993,117,23.260000000000002,26,5.1699999999999999,5,0.98999999999999999,29,5.7699999999999996,2,0.40000000000000002,0,0,1,0.20000000000000001,29.09.2019,14:24:30,29.09.2019,14:24:30
40430,Perwang am Grabensee,783,510,65.129999999999995,3,0.58999999999999997,507,99.409999999999997,263,51.869999999999997,41,8.0899999999999999,102,20.120000000000001,38,7.5,4,0.79000000000000004,54,10.65,2,0.39000000000000001,0,0,3,0.58999999999999997,29.09.2019,13:18:01,29.09.2019,13:18:01
40431,Pfaffstätt,784,523,66.709999999999994,7,1.3400000000000001,516,98.659999999999997,246,47.670000000000002,90,17.440000000000001,87,16.859999999999999,39,7.5599999999999996,9,1.74,39,7.5599999999999996,3,0.57999999999999996,1,0.19,2,0.39000000000000001,29.09.2019,13:40:28,29.09.2019,13:40:28
40432,Pischelsdorf am Engelbach,1276,826,64.730000000000004,12,1.45,814,98.549999999999997,408,50.119999999999997,83,10.199999999999999,215,26.41,55,6.7599999999999998,8,0.97999999999999998,40,4.9100000000000001,1,0.12,1,0.12,3,0.37,29.09.2019,15:28:08,29.09.2019,15:28:08
40433,Polling im Innkreis,767,479,62.450000000000003,11,2.2999999999999998,468,97.700000000000003,221,47.219999999999999,61,13.029999999999999,144,30.77,15,3.21,4,0.84999999999999998,20,4.2699999999999996,3,0.64000000000000001,0,0,0,0,29.09.2019,14:24:40,29.09.2019,14:24:40
40434,Roßbach,752,487,64.760000000000005,10,2.0499999999999998,477,97.950000000000003,210,44.030000000000001,75,15.720000000000001,130,27.25,30,6.29,2,0.41999999999999998,24,5.0300000000000002,6,1.26,0,0,0,0,29.09.2019,12:56:45,29.09.2019,13:35:25
40435,St.Georgen am Fillmannsbach,343,236,68.799999999999997,3,1.27,233,98.730000000000004,104,44.640000000000001,11,4.7199999999999998,93,39.909999999999997,8,3.4300000000000002,5,2.1499999999999999,10,4.29,1,0.42999999999999999,0,0,1,0.42999999999999999,29.09.2019,13:09:56,29.09.2019,13:09:56
40436,St.Johann am Walde,1639,987,60.219999999999999,18,1.8200000000000001,969,98.180000000000007,405,41.799999999999997,214,22.079999999999998,221,22.809999999999999,45,4.6399999999999997,6,0.62,73,7.5300000000000002,5,0.52000000000000002,0,0,0,0,29.09.2019,13:35:43,29.09.2019,13:35:43
40437,St.Pantaleon,2306,1357,58.850000000000001,20,1.47,1337,98.530000000000001,577,43.159999999999997,267,19.969999999999999,252,18.850000000000001,93,6.96,21,1.5700000000000001,109,8.1500000000000004,7,0.52000000000000002,2,0.14999999999999999,9,0.67000000000000004,29.09.2019,13:48:49,29.09.2019,15:29:08
40438,St.Peter am Hart,1811,1020,56.32,17,1.6699999999999999,1003,98.329999999999998,421,41.969999999999999,194,19.34,179,17.850000000000001,58,5.7800000000000002,17,1.6899999999999999,127,12.66,5,0.5,0,0,2,0.20000000000000001,29.09.2019,14:51:26,29.09.2019,14:51:26
40439,St.Radegund,462,327,70.780000000000001,3,0.92000000000000004,324,99.079999999999998,217,66.980000000000004,13,4.0099999999999998,28,8.6400000000000006,21,6.4800000000000004,4,1.23,37,11.42,2,0.62,0,0,2,0.62,29.09.2019,13:10:09,29.09.2019,13:10:09
40440,St.Veit im Innkreis,319,223,69.909999999999997,4,1.79,219,98.209999999999994,103,47.030000000000001,48,21.920000000000002,51,23.289999999999999,8,3.6499999999999999,1,0.46000000000000002,7,3.2000000000000002,0,0,0,0,1,0.46000000000000002,29.09.2019,12:30:55,29.09.2019,12:30:55
40441,Schalchen,2872,1818,63.299999999999997,33,1.8200000000000001,1785,98.180000000000007,742,41.57,386,21.620000000000001,354,19.829999999999998,105,5.8799999999999999,20,1.1200000000000001,162,9.0800000000000001,10,0.56000000000000005,1,0.059999999999999998,5,0.28000000000000003,29.09.2019,15:11:51,29.09.2019,15:11:51
40442,Schwand im Innkreis,767,503,65.579999999999998,7,1.3899999999999999,496,98.609999999999999,264,53.229999999999997,51,10.279999999999999,101,20.359999999999999,27,5.4400000000000004,3,0.59999999999999998,47,9.4800000000000004,1,0.20000000000000001,0,0,2,0.40000000000000002,29.09.2019,14:51:45,29.09.2019,14:51:45
40443,Tarsdorf,1632,1017,62.32,13,1.28,1004,98.719999999999999,587,58.469999999999999,82,8.1699999999999999,200,19.920000000000002,41,4.0800000000000001,11,1.1000000000000001,78,7.7699999999999996,4,0.40000000000000002,0,0,1,0.10000000000000001,29.09.2019,14:24:49,29.09.2019,14:24:49
40444,Treubach,574,344,59.93,4,1.1599999999999999,340,98.840000000000003,181,53.240000000000002,20,5.8799999999999999,90,26.469999999999999,25,7.3499999999999996,1,0.28999999999999998,18,5.29,3,0.88,0,0,2,0.58999999999999997,29.09.2019,12:39:28,29.09.2019,12:39:28
40445,Ueberackern,441,250,56.689999999999998,1,0.40000000000000002,249,99.599999999999994,130,52.210000000000001,36,14.460000000000001,53,21.289999999999999,11,4.4199999999999999,4,1.6100000000000001,15,6.0199999999999996,0,0,0,0,0,0,29.09.2019,13:10:22,29.09.2019,13:10:22
40446,Weng im Innkreis,1144,705,61.630000000000003,12,1.7,693,98.299999999999997,296,42.710000000000001,100,14.43,201,29,31,4.4699999999999998,4,0.57999999999999996,60,8.6600000000000001,0,0,0,0,1,0.14000000000000001,29.09.2019,14:55:13,29.09.2019,14:55:13
40499,Wahlkarten Braunau am Inn,0,9740,0,102,1.05,9638,98.950000000000003,3792,39.340000000000003,1707,17.710000000000001,1520,15.77,840,8.7200000000000006,149,1.55,1482,15.380000000000001,74,0.77000000000000002,1,0.01,73,0.76000000000000001,30.09.2019,15:46:49,30.09.2019,15:46:49
40500,Eferding,25869,20908,80.819999999999993,445,2.1299999999999999,20463,97.870000000000005,7501,36.659999999999997,4454,21.77,4030,19.690000000000001,1494,7.2999999999999998,274,1.3400000000000001,2533,12.380000000000001,86,0.41999999999999998,7,0.029999999999999999,84,0.40999999999999998,29.09.2019,17:38:14,30.09.2019,14:54:08
40501,Alkoven,4639,3273,70.549999999999997,45,1.3700000000000001,3228,98.629999999999995,986,30.550000000000001,915,28.350000000000001,606,18.77,218,6.75,69,2.1400000000000001,405,12.550000000000001,11,0.34000000000000002,1,0.029999999999999999,17,0.53000000000000003,29.09.2019,17:38:14,29.09.2019,17:38:14
40502,Aschach an der Donau,1595,1018,63.82,14,1.3799999999999999,1004,98.620000000000005,304,30.280000000000001,253,25.199999999999999,206,20.52,64,6.3700000000000001,13,1.29,148,14.74,10,1,1,0.10000000000000001,5,0.5,29.09.2019,16:41:59,29.09.2019,16:41:59
40503,Eferding,2927,1797,61.390000000000001,22,1.22,1775,98.780000000000001,605,34.079999999999998,447,25.18,323,18.199999999999999,139,7.8300000000000001,24,1.3500000000000001,221,12.449999999999999,8,0.45000000000000001,1,0.059999999999999998,7,0.39000000000000001,29.09.2019,16:21:18,29.09.2019,16:21:18
40504,Fraham,1871,1170,62.530000000000001,16,1.3700000000000001,1154,98.629999999999995,414,35.880000000000003,273,23.66,216,18.719999999999999,89,7.71,17,1.47,134,11.609999999999999,5,0.42999999999999999,1,0.089999999999999997,5,0.42999999999999999,29.09.2019,15:13:44,29.09.2019,15:13:44
40505,Haibach ob der Donau,1095,743,67.849999999999994,14,1.8799999999999999,729,98.120000000000005,337,46.229999999999997,163,22.359999999999999,123,16.870000000000001,41,5.6200000000000001,2,0.27000000000000002,61,8.3699999999999992,1,0.14000000000000001,0,0,1,0.14000000000000001,29.09.2019,13:57:52,29.09.2019,13:57:52
40506,Hartkirchen,3384,2426,71.689999999999998,38,1.5700000000000001,2388,98.430000000000007,940,39.359999999999999,426,17.84,567,23.739999999999998,164,6.8700000000000001,20,0.83999999999999997,256,10.720000000000001,8,0.34000000000000002,0,0,7,0.28999999999999998,29.09.2019,16:21:39,29.09.2019,16:21:39
40507,Hinzenbach,1620,1096,67.650000000000006,21,1.9199999999999999,1075,98.079999999999998,424,39.439999999999998,236,21.949999999999999,202,18.789999999999999,70,6.5099999999999998,16,1.49,120,11.16,5,0.46999999999999997,0,0,2,0.19,29.09.2019,15:12:14,29.09.2019,15:12:14
40508,Prambachkirchen,2276,1473,64.719999999999999,22,1.49,1451,98.510000000000005,658,45.350000000000001,210,14.470000000000001,318,21.920000000000002,98,6.75,13,0.90000000000000002,144,9.9199999999999999,6,0.40999999999999998,1,0.070000000000000007,3,0.20999999999999999,29.09.2019,16:37:27,29.09.2019,16:37:27
40509,Pupping,1455,981,67.420000000000002,10,1.02,971,98.980000000000004,366,37.689999999999998,191,19.670000000000002,228,23.48,52,5.3600000000000003,16,1.6499999999999999,111,11.43,6,0.62,0,0,1,0.10000000000000001,29.09.2019,15:13:57,29.09.2019,15:13:57
40510,St.Marienkirchen an d. Polsenz,1899,1288,67.829999999999998,20,1.55,1268,98.450000000000003,472,37.219999999999999,278,21.920000000000002,272,21.449999999999999,83,6.5499999999999998,15,1.1799999999999999,140,11.039999999999999,6,0.46999999999999997,0,0,2,0.16,29.09.2019,15:52:01,29.09.2019,15:56:44
40511,Scharten,1772,1229,69.359999999999999,19,1.55,1210,98.450000000000003,375,30.989999999999998,245,20.25,292,24.129999999999999,96,7.9299999999999997,19,1.5700000000000001,173,14.300000000000001,4,0.33000000000000002,1,0.080000000000000002,5,0.40999999999999998,29.09.2019,16:09:28,29.09.2019,17:29:50
40512,Stroheim,1336,921,68.939999999999998,19,2.0600000000000001,902,97.939999999999998,495,54.880000000000003,92,10.199999999999999,186,20.620000000000001,56,6.21,7,0.78000000000000003,61,6.7599999999999998,1,0.11,0,0,4,0.44,29.09.2019,14:22:38,29.09.2019,14:23:32
40599,Wahlkarten Eferding,0,3493,0,185,5.2999999999999998,3308,94.700000000000003,1125,34.009999999999998,725,21.920000000000002,491,14.84,324,9.7899999999999991,43,1.3,559,16.899999999999999,15,0.45000000000000001,1,0.029999999999999999,25,0.76000000000000001,30.09.2019,14:54:08,30.09.2019,14:54:08
40600,Freistadt,53816,44628,82.930000000000007,851,1.9099999999999999,43777,98.090000000000003,18623,42.539999999999999,9230,21.079999999999998,6770,15.460000000000001,2646,6.04,532,1.22,5525,12.619999999999999,245,0.56000000000000005,22,0.050000000000000003,184,0.41999999999999998,29.09.2019,19:07:31,30.09.2019,14:31:53
