WAHLKREIS,WAHL,'SPÖ','ÖVP','GRÜNE','FPÖ'
Kematen am Innbach,2017,148,224,14,321
Natternbach,2017,290,521,36,479
Neumarkt im Hausruckkreis,2017,175,214,15,222
Grünburg,2017,479,579,39,629
Roßleithen,2017,249,331,24,268
Kirchberg-Thening,2017,483,355,69,356
St.Roman,2017,90,469,11,444
Wernstein am Inn,2017,183,337,13,249
Aurach am Hongar,2017,228,261,14,371
Gampern,2017,324,621,68,481
St.Georgen im Attergau,2017,370,753,66,706
Schlatt,2017,160,230,27,210
Laussa,2017,194,305,13,235
Engerwitzdorf,2017,1429,1588,224,1207
Gallneukirchen,2017,1249,951,202,645
St.Gotthard im Mühlkreis,2017,199,273,33,174
Steyregg,2017,975,761,89,692
Klaffer am Hochficht,2017,159,295,14,273
Peilstein im Mühlviertel,2017,169,476,15,236
St.Peter am Wimberg,2017,185,556,26,221
Altschwendt,2017,99,173,14,115
Esternberg,2017,217,670,35,623
Kopfing im Innkreis,2017,152,466,23,463
Riedau,2017,285,274,31,319
Bachmanning,2017,82,126,17,113
Bad Wimsbach-Neydharting,2017,358,529,27,388
Krenglbach,2017,541,546,50,486
Munderfing,2017,329,525,32,500
Perwang am Grabensee,2017,88,234,15,188
St.Peter am Hart,2017,307,417,26,323
Eferding,2017,6347,7318,795,6912
Alkoven,2017,1178,834,86,1004
Prambachkirchen,2017,320,612,56,563
Freistadt,2017,13221,18003,1839,12094
Rainbach im Mühlkreis,2017,427,680,52,325
St.Oswald bei Freistadt,2017,491,581,18,513
Waldburg,2017,201,328,31,186
Windhaag bei Freistadt,2017,200,439,23,210
Geretsberg,2017,81,258,12,203
Hochburg-Ach,2017,261,648,44,323
Niederneukirchen,2017,269,481,47,278
Pasching,2017,1336,965,122,1109
Baumgartenberg,2017,157,351,18,352
Bad Kreuzen,2017,124,660,40,326
Mitterkirchen im Machland,2017,211,394,18,262
Aurolzmünster,2017,324,425,25,582
Gurten,2017,114,225,11,198
Lohnsburg am Kobernaußerwald,2017,180,472,25,430
Mühlheim am Inn,2017,99,135,8,132
Pattigham,2017,80,215,12,157
Afiesl,2017,42,90,3,85
Ahorn,2017,58,136,5,87
Auberg,2017,42,178,13,83
Grünau im Almtal,2017,318,350,32,355
Laakirchen,2017,1768,1153,100,1360
Vorchdorf,2017,1084,1235,164,1298
Grieskirchen,2017,9477,16109,1475,12965
Bruck-Waasen,2017,201,604,35,415
Gallspach,2017,297,380,42,432
Haag am Hausruck,2017,252,418,28,325
Michaelnbach,2017,92,316,11,217
Weibern,2017,169,387,40,218
Kirchdorf an der Krems,2017,9362,12162,1307,10426
Edlbach,2017,72,147,5,85
Inzersdorf im Kremstal,2017,227,380,34,321
Molln,2017,568,526,44,593
Pettenbach,2017,555,926,96,972
St.Pankraz,2017,36,39,1,85
Spital am Pyhrn,2017,303,337,14,421
Windischgarsten,2017,362,372,25,313
Kematen an der Krems,2017,367,482,34,426
Waldkirchen am Wesen,2017,150,339,9,195
Aschach an der Steyr,2017,356,480,50,275
Pöndorf,2017,261,508,9,423
Vöcklabruck,2017,22591,28530,3326,24757
Rohr im Kremstal,2017,174,273,13,212
Waldneukirchen,2017,274,500,34,358
Altenberg bei Linz,2017,534,1243,118,503
Bad Leonfelden,2017,446,1044,61,592
Hellmonsödt,2017,317,431,49,294
Puchenau,2017,728,755,132,420
Vorderweißenbach,2017,186,622,35,301
Niederkappel,2017,67,306,11,169
Enzenkirchen,2017,181,327,8,433
Freinberg,2017,103,292,13,165
Zell am Pettenfirst,2017,129,230,38,177
Aichkirchen,2017,31,149,6,87
Buchkirchen,2017,638,637,68,740
Holzhausen,2017,120,140,10,176
Lambach,2017,375,370,45,453
Pennewang,2017,68,248,16,125
Unterweitersdorf,2017,450,383,42,283
Traunviertel,2017,48205,47753,5409,42052
Mühlviertel,2017,47176,69413,7065,44188
Burgkirchen,2017,252,613,42,438
Feldkirchen bei Mattighofen,2017,165,429,19,441
Höhnhart,2017,110,284,3,256
Lengau,2017,659,725,55,794
Maria Schmolln,2017,118,347,12,214
Oftering,2017,390,366,24,337
Wilhering,2017,1003,1076,153,648
Ried in der Riedmark,2017,851,822,83,536
St.Nikola an der Donau,2017,84,184,9,92
Eitzing,2017,89,167,11,144
Geinberg,2017,95,238,15,242
Hohenzell,2017,181,509,40,341
Kirchheim im Innkreis,2017,55,175,5,158
Neuhofen im Innkreis,2017,293,448,51,384
Arnreit,2017,98,369,15,173
Hofkirchen im Mühlkreis,2017,148,351,35,222
Kirchham,2017,190,531,20,344
Ohlsdorf,2017,840,873,106,814
Geboltskirchen,2017,206,294,23,218
Hofkirchen an der Trattnach,2017,171,335,19,279
Meggenhofen,2017,164,355,40,214
Pötting,2017,51,200,7,59
Schlüßlberg,2017,574,438,52,467
Taufkirchen an der Trattnach,2017,196,417,23,430
St.Willibald,2017,109,242,22,303
Schardenberg,2017,142,610,26,382
Taufkirchen an der Pram,2017,354,548,31,578
Zell an der Pram,2017,180,496,46,281
Großraming,2017,504,592,47,372
Lenzing,2017,978,413,61,918
Oberwang,2017,61,501,10,302
Pitzenberg,2017,75,124,7,92
Timelkam,2017,1001,781,95,859
Losenstein,2017,294,279,31,230
Maria Neustift,2017,139,466,10,302
Pfarrkirchen bei Bad Hall,2017,346,422,28,364
St.Ulrich bei Steyr,2017,414,652,58,438
Goldwörth,2017,105,190,24,121
Ottensheim,2017,750,798,252,388
Niederwaldkirchen,2017,169,477,29,233
Oepping,2017,134,437,28,260
Schönegg,2017,99,106,11,95
Wolfsegg am Hausruck,2017,301,300,40,282
Wels-Land,2017,11017,13637,1353,13835
Eberstalzell,2017,176,565,32,475
Marchtrenk,2017,2131,1386,146,2363
Pichl bei Wels,2017,352,548,63,503
Thalheim bei Wels,2017,693,881,128,773
