PARTEI,WAHLKREIS,'29.09.19','15.10.17'
GRÜNE,Zell an der Pram,127,46
GRÜNE,Steyr-Land,4780,1227
GRÜNE,Garsten,503,161
GRÜNE,Innerschwand,65,35
GRÜNE,Rüstorf,119,32
GRÜNE,Steinbach am Attersee,56,34
GRÜNE,Tiefgraben,195,45
GRÜNE,Timelkam,394,95
GRÜNE,Puchenau,511,132
GRÜNE,Attersee,132,28
GRÜNE,Klaffer am Hochficht,35,14
GRÜNE,St.Martin im Mühlkreis,246,61
GRÜNE,Eggerding,42,10
GRÜNE,Freinberg,30,13
GRÜNE,Wels-Land,5104,1353
GRÜNE,Edt bei Lambach,105,24
GRÜNE,Marchtrenk,624,146
GRÜNE,Steinerkirchen an der Traun,147,49
ÖVP,St.Georgen am Fillmannsbach,104,89
ÖVP,Eferding,8106,7318
ÖVP,Pupping,366,336
ÖVP,Rainbach im Mühlkreis,722,680
ÖVP,St.Oswald bei Freistadt,679,581
ÖVP,Wartberg ob der Aist,769,698
ÖVP,Gmunden,22804,20362
ÖVP,Altmünster,1857,1639
ÖVP,Höhnhart,302,284
ÖVP,Lengau,927,725
ÖVP,Arbing,324,303
ÖVP,Langenstein,404,339
ÖVP,Münzbach,521,457
ÖVP,Waldhausen im Strudengau,706,615
ÖVP,Ried im Innkreis,1454,14812
ÖVP,Mettmach,489,416
ÖVP,Peterskirchen,218,211
ÖVP,St.Marienkirchen am Hausruck,261,224
ÖVP,Schildorn,258,239
ÖVP,Taiskirchen im Innkreis,610,595
ÖVP,Wippenham,106,104
ÖVP,Rohrbach,17629,16575
ÖVP,Grünau im Almtal,376,350
ÖVP,Obertraun,107,96
ÖVP,Ohlsdorf,908,873
ÖVP,St.Konrad,288,270
ÖVP,St.Wolfgang im Salzkammergut,633,557
ÖVP,Vorchdorf,1328,1235
ÖVP,Kallham,538,525
ÖVP,Kematen am Innbach,261,224
ÖVP,Michaelnbach,356,316
ÖVP,Neukirchen am Walde,460,426
ÖVP,St.Georgen bei Grieskirchen,263,242
ÖVP,Schlüßlberg,534,438
ÖVP,Hinterstoder,215,203
ÖVP,Inzersdorf im Kremstal,380,380
ÖVP,Klaus an der Pyhrnbahn,161,144
ÖVP,Oberschlierbach,135,121
ÖVP,Pettenbach,1004,926
ÖVP,Steyr-Land,14913,13530
ÖVP,Gampern,719,621
ÖVP,Nußdorf am Attersee,251,270
ÖVP,Weißenkirchen im Attergau,274,282
ÖVP,St.Ulrich bei Steyr,720,652
ÖVP,Urfahr-Umgebung,22082,20848
ÖVP,Gramastetten,1089,1127
ÖVP,Vorderweißenbach,788,622
ÖVP,Attersee,322,307
ÖVP,Klaffer am Hochficht,321,295
ÖVP,Freinberg,321,292
ÖVP,Mayrhof,88,103
ÖVP,Bachmanning,130,126
ÖVP,Edt bei Lambach,438,378
SPÖ,Neukirchen an der Enknach,165,235
SPÖ,Pfaffstätt,90,116
SPÖ,Roßbach,75,104
SPÖ,St.Georgen am Fillmannsbach,11,17
SPÖ,St.Peter am Hart,194,307
SPÖ,Lasberg,280,407
SPÖ,Rainbach im Mühlkreis,300,427
SPÖ,Traunviertel,38208,48205
SPÖ,Leonding,3427,4627
SPÖ,Wilhering,715,1003
SPÖ,Perg,11591,13996
SPÖ,Grein,336,396
SPÖ,Rechberg,58,82
SPÖ,St.Nikola an der Donau,68,84
SPÖ,Saxen,196,247
SPÖ,Schwertberg,862,1057
SPÖ,Mörschwang,12,20
SPÖ,Pramet,68,110
SPÖ,St.Marienkirchen am Hausruck,31,70
SPÖ,Rohrbach,5285,7326
SPÖ,Auberg,26,42
SPÖ,Julbach,238,265
SPÖ,Gosau,339,395
SPÖ,Kirchham,139,190
SPÖ,Weibern,108,169
FPÖ,Pischelsdorf am Engelbach,215,343
FPÖ,Tarsdorf,200,316
FPÖ,Hirschbach im Mühlkreis,60,132
FPÖ,Rainbach im Mühlkreis,183,325
FPÖ,Weitersfelden,71,135
FPÖ,Hausruckviertel,40697,64579
FPÖ,Altheim,599,921
FPÖ,Handenberg,135,227
FPÖ,Maria Schmolln,123,214
FPÖ,Mattighofen,451,725
FPÖ,St.Marien,377,639
FPÖ,Perg,7550,12363
FPÖ,Ried in der Riedmark,330,536
FPÖ,Schwertberg,413,695
FPÖ,Andrichsfurt,86,137
FPÖ,Eitzing,97,144
FPÖ,Kirchdorf am Inn,75,116
FPÖ,Helfenberg,162,156
FPÖ,Pinsdorf,376,636
FPÖ,Roitham,218,338
FPÖ,Haag am Hausruck,200,325
FPÖ,Hofkirchen an der Trattnach,182,279
FPÖ,Peuerbach,440,346
FPÖ,Pollham,73,139
FPÖ,Wendling,109,155
FPÖ,Hinterstoder,89,133
FPÖ,Vorderstoder,81,142
FPÖ,Enns,782,1432
FPÖ,Waldkirchen am Wesen,134,195
FPÖ,Adlwang,174,273
FPÖ,Bad Hall,375,687
KPÖ,Kleinzell im Mühlkreis,1,4
KPÖ,Lichtenau im Mühlkreis,1,1
KPÖ,Andorf,11,5
KPÖ,Münzkirchen,9,3
KPÖ,Weyregg am Attersee,1,4
KPÖ,Wolfsegg am Hausruck,12,7
KPÖ,Zell am Pettenfirst,7,4
KPÖ,Buchkirchen,9,3
KPÖ,Krenglbach,8,6
KPÖ,Lambach,5,10
KPÖ,Stadl-Paura,16,14
NEOS,Moosdorf,30,29
NEOS,St.Pantaleon,93,55
NEOS,St.Radegund,21,9
NEOS,Schalchen,105,63
NEOS,Haibach ob der Donau,41,37
NEOS,Pupping,52,26
NEOS,Grünbach,58,40
NEOS,Lasberg,106,56
NEOS,Liebenau,27,19
NEOS,St.Leonhard bei Freistadt,25,9
NEOS,St.Oswald bei Freistadt,73,43
NEOS,Wartberg ob der Aist,138,99
NEOS,Mattighofen,116,98
NEOS,Allerheiligen im Mühlkreis,43,23
NEOS,Grein,78,59
NEOS,Katsdorf,141,106
NEOS,Luftenberg an der Donau,127,81
NEOS,Rechberg,20,14
NEOS,Ried in der Riedmark,141,106
NEOS,Eberschwang,95,58
NEOS,Eitzing,21,18
NEOS,Geiersberg,17,7
NEOS,Lohnsburg am Kobernaußerwald,54,38
NEOS,Bad Ischl,468,349
NEOS,Obertraun,15,8
NEOS,St.Konrad,30,19
NEOS,Scharnstein,174,156
NEOS,Natternbach,51,38
NEOS,Edlbach,25,22
NEOS,Klaus an der Pyhrnbahn,21,12
NEOS,Oberschlierbach,17,13
NEOS,Roßleithen,42,52
NEOS,Windischgarsten,72,78
NEOS,Linz-Land,6997,4609
NEOS,Steyr-Land,2485,1788
NEOS,Frankenmarkt,93,86
NEOS,Niederthalheim,52,32
NEOS,Puchkirchen am Trattberg,38,38
NEOS,Schlatt,38,27
NEOS,Weißenkirchen im Attergau,19,11
NEOS,Altenberg bei Linz,247,157
NEOS,Goldwörth,28,28
NEOS,Gramastetten,282,224
NEOS,Vorderweißenbach,80,40
NEOS,Neustift im Mühlkreis,46,31
NEOS,St.Ulrich im Mühlkreis,15,26
NEOS,Ulrichsberg,86,65
NEOS,Rohrbach-Berg,198,133
NEOS,Diersbach,38,25
NEOS,Eggerding,42,27
NEOS,Engelhartszell,14,13
NEOS,Rainbach im Innkreis,44,30
NEOS,Edt bei Lambach,71,40
NEOS,Gunskirchen,224,168
NEOS,Lambach,86,87
SPÖ,Klaus an der Pyhrnbahn,204,254
SPÖ,Wartberg an der Krems,234,305
SPÖ,Asten,1020,1200
SPÖ,Enns,1480,1837
SPÖ,Gaflenz,162,226
SPÖ,Attnang-Puchheim,1097,1348
SPÖ,Atzbach,54,72
SPÖ,Desselbrunn,217,284
SPÖ,Pilsbach,92,110
SPÖ,Unterach am Attersee,113,154
SPÖ,Vöcklabruck,17196,22591
SPÖ,Pfarrkirchen bei Bad Hall,277,346
SPÖ,Gallneukirchen,804,1249
SPÖ,Ottenschlag im Mühlkreis,48,75
SPÖ,Sonnberg im Mühlkreis,93,147
SPÖ,Vorderweißenbach,219,186
SPÖ,Klaffer am Hochficht,112,159
SPÖ,Altschwendt,60,99
SPÖ,Brunnenthal,146,192
SPÖ,Esternberg,147,217
SPÖ,Raab,112,185
SPÖ,Aichkirchen,20,31
SPÖ,Krenglbach,353,541
SPÖ,Sattledt,235,273
KPÖ,Pfaffstätt,3,4
KPÖ,Pischelsdorf am Engelbach,1,2
KPÖ,St.Peter am Hart,5,1
KPÖ,Eferding,94,89
KPÖ,Alkoven,11,15
KPÖ,Hartkirchen,8,9
KPÖ,Gutau,4,11
KPÖ,Königswiesen,5,3
KPÖ,Lasberg,7,7
KPÖ,Sandl,7,9
KPÖ,St.Oswald bei Freistadt,4,3
KPÖ,Unterweitersdorf,4,7
KPÖ,Innviertel,605,500
KPÖ,Traunviertel,856,870
KPÖ,Braunau am Inn,31,268
KPÖ,Feldkirchen bei Mattighofen,2,3
KPÖ,Lochen,10,7
KPÖ,Neuhofen an der Krems,11,17
KPÖ,Windhaag bei Perg,4,2
KPÖ,Gurten,3,2
KPÖ,Kirchheim im Innkreis,1,0
KPÖ,Lambrechten,5,0
KPÖ,Mettmach,6,3
KPÖ,Mühlheim am Inn,4,3
KPÖ,Neuhofen im Innkreis,8,6
KPÖ,Bad Ischl,42,47
KPÖ,Gaspoltshofen,6,12
KPÖ,Kallham,6,5
KPÖ,Natternbach,2,4
KPÖ,St.Agatha,5,2
KPÖ,Pettenbach,13,11
KPÖ,Rosenau am Hengstpaß,3,2
KPÖ,Roßleithen,3,4
KPÖ,St.Pankraz,1,0
KPÖ,Wartberg an der Krems,8,7
KPÖ,Hargelsberg,4,4
KPÖ,Hörsching,16,8
KPÖ,St.Roman,2,3
KPÖ,Aschach an der Steyr,8,7
KPÖ,Garsten,19,18
KPÖ,Berg im Attergau,2,2
KPÖ,Frankenmarkt,15,7
KPÖ,Pilsbach,0,3
KPÖ,Pitzenberg,1,1
KPÖ,Puchkirchen am Trattberg,4,4
KPÖ,Reichraming,3,3
KPÖ,Bad Leonfelden,12,7
KPÖ,Eidenberg,5,7
KPÖ,Feldkirchen an der Donau,13,16
KPÖ,Hellmonsödt,10,6
KPÖ,Oberneukirchen,9,13
SLP,Treubach,0,0
SLP,Ueberackern,0,0
SLP,Weng im Innkreis,0,0
SLP,Aschach an der Donau,1,1
SLP,Prambachkirchen,1,0
SLP,Pupping,0,0
SLP,Grünbach,2,0
SLP,Kefermarkt,1,1
SLP,Liebenau,0,0
SLP,Pierbach,0,0
SLP,St.Oswald bei Freistadt,0,0
SLP,Schönau im Mühlkreis,0,0
SLP,Weitersfelden,0,0
SLP,Grünau im Almtal,1,0
SLP,Linz und Umgebung,93,55
SLP,Helpfau-Uttendorf,0,1
SLP,Mining,0,0
SLP,Moosdorf,0,0
SLP,Baumgartenberg,0,0
SLP,Bad Kreuzen,0,0
SLP,Ried in der Riedmark,2,0
SLP,St.Georgen am Walde,0,0
SLP,Eitzing,0,0
SLP,St.Marienkirchen am Hausruck,0,1
SLP,Weilbach,0,0
SLP,Altenfelden,0,0
SLP,Haslach an der Mühl,0,0
SLP,Kleinzell im Mühlkreis,1,0
SLP,Lichtenau im Mühlkreis,0,0
SLP,Niederkappel,0,0
SLP,Peilstein im Mühlviertel,0,0
SLP,Edlbach,0,0
SLP,Grünburg,0,0
SLP,Hinterstoder,0,0
SLP,Spital am Pyhrn,1,0
SLP,Maria Neustift,0,0
SLP,Ternberg,0,0
SLP,Urfahr-Umgebung,19,9
SLP,Feldkirchen an der Donau,0,0
SLP,St.Georgen im Attergau,0,0
SLP,Schlatt,0,0
SLP,Steinbach am Attersee,0,0
SLP,Straß im Attergau,0,0
SLP,Weyregg am Attersee,0,0
SLP,Goldwörth,0,0
SLP,Gramastetten,4,1
SLP,Herzogsdorf,0,0
SLP,Oberneukirchen,1,0
SLP,Attnang-Puchheim,2,1
SLP,Ottnang am Hausruck,0,1
SLP,Eggerding,0,0
SLP,Rainbach im Innkreis,0,0
SLP,Riedau,0,0
SLP,Waldkirchen am Wesen,0,0
FPÖ,St.Marienkirchen an d. Polsenz,272,435
GRÜNE,Wels,6782,1986
GRÜNE,Jeging,14,4
SPÖ,St.Marienkirchen bei Schärding,96,130
NEOS,St.Marienkirchen an d. Polsenz,83,63
FPÖ,Lenzing,589,918
FPÖ,Oberndorf bei Schwanenstadt,186,295
FPÖ,Puchkirchen am Trattberg,75,130
FPÖ,Pühret,72,113
FPÖ,Rüstorf,229,388
FPÖ,Straß im Attergau,158,292
FPÖ,Tiefgraben,236,474
FPÖ,Unterach am Attersee,82,119
FPÖ,Sierning,858,1540
FPÖ,Gallneukirchen,365,645
FPÖ,Goldwörth,75,121
FPÖ,Kleinzell im Mühlkreis,120,191
FPÖ,St.Peter am Wimberg,107,221
FPÖ,Schwarzenberg am Böhmerwald,51,115
FPÖ,Altschwendt,78,115
FPÖ,Brunnenthal,247,388
FPÖ,Enzenkirchen,301,433
FPÖ,Aichkirchen,65,87
FPÖ,Holzhausen,101,176
FPÖ,Marchtrenk,1445,2363
FPÖ,Neukirchen bei Lambach,97,150
FPÖ,Sipbachzell,226,348
FPÖ,Steinhaus,298,461
GRÜNE,Palting,29,10
GRÜNE,Perwang am Grabensee,54,15
GRÜNE,Pfaffstätt,39,14
GRÜNE,Schwand im Innkreis,47,14
GRÜNE,Tarsdorf,78,28
GRÜNE,Weng im Innkreis,60,17
GRÜNE,Hinzenbach,120,20
GRÜNE,Stroheim,61,18
GRÜNE,Lasberg,181,49
GRÜNE,Sandl,78,34
GRÜNE,Innviertel,12882,3880
GRÜNE,Hausruckviertel,27377,7752
GRÜNE,Lochen,120,34
GRÜNE,Naarn im Machlande,158,20
GRÜNE,Windhaag bei Perg,74,22
GRÜNE,Lambrechten,48,17
GRÜNE,Mühlheim am Inn,29,8
GRÜNE,Pattigham,59,12
GRÜNE,Schildorn,45,16
GRÜNE,Senftenbach,34,6
GRÜNE,Tumeltsham,83,30
GRÜNE,Haslach an der Mühl,163,63
GRÜNE,Bad Ischl,800,263
GRÜNE,Haag am Hausruck,155,28
GRÜNE,Hofkirchen an der Trattnach,87,19
GRÜNE,Pötting,16,7
GRÜNE,St.Georgen bei Grieskirchen,97,21
GRÜNE,St.Thomas,27,14
GRÜNE,Wendling,43,11
GRÜNE,Molln,191,44
GRÜNE,Nußbach,125,45
GRÜNE,Steinbach an der Steyr,78,27
GRÜNE,Wartberg an der Krems,170,49
GRÜNE,Suben,52,16
GRÜNE,Atzbach,71,22
GRÜNE,Frankenmarkt,144,55
GRÜNE,Oberwang,37,10
GRÜNE,Ottnang am Hausruck,191,62
GRÜNE,Pöndorf,64,9
GRÜNE,Pühret,39,18
GRÜNE,Rutzenham,27,9
GRÜNE,St.Lorenz,130,43
GRÜNE,Weißenkirchen im Attergau,36,12
GRÜNE,Laussa,76,13
GRÜNE,Sierning,507,99
GRÜNE,Waldneukirchen,128,34
GRÜNE,Ottensheim,674,252
GRÜNE,St.Gotthard im Mühlkreis,107,33
GRÜNE,Walding,338,119
GRÜNE,Oberkappel,12,5
GRÜNE,Peilstein im Mühlviertel,59,15
GRÜNE,St.Peter am Wimberg,104,26
GRÜNE,Aigen-Schlägl,158,57
GRÜNE,Altschwendt,37,14
GRÜNE,Esternberg,106,35
GRÜNE,Mayrhof,8,1
GRÜNE,Raab,124,46
GRÜNE,Bad Wimsbach-Neydharting,130,27
GRÜNE,Stadl-Paura,237,66
GRÜNE,Weißkirchen an der Traun,188,38
ÖVP,Roßbach,210,196
ÖVP,St.Peter am Hart,421,417
ÖVP,Tarsdorf,587,528
ÖVP,Hinzenbach,424,380
ÖVP,Hagenberg im Mühlkreis,452,412
ÖVP,Kaltenberg,304,263
ÖVP,Leopoldschlag,314,280
ÖVP,St.Leonhard bei Freistadt,400,387
ÖVP,Waldburg,331,328
ÖVP,Steyr,8347,7082
ÖVP,Auerbach,148,139
ÖVP,Burgkirchen,621,613
ÖVP,Lochen,725,637
ÖVP,Mattighofen,699,599
ÖVP,Pucking,658,602
ÖVP,Katsdorf,597,564
ÖVP,Mitterkirchen im Machland,420,394
ÖVP,Andrichsfurt,218,192
ÖVP,Antiesenhofen,197,157
ÖVP,Gurten,231,225
ÖVP,Altenfelden,518,471
ÖVP,Kirchberg ob der Donau,277,258
ÖVP,Hallstatt,85,85
ÖVP,Laakirchen,1314,1153
ÖVP,Roitham,379,344
ÖVP,Scharnstein,790,736
ÖVP,Pötting,206,200
ÖVP,Pram,290,317
ÖVP,Taufkirchen an der Trattnach,436,417
ÖVP,Schardenberg,632,610
ÖVP,Gaflenz,536,488
ÖVP,Atzbach,326,315
ÖVP,Frankenburg am Hausruck,959,846
ÖVP,Pfaffing,333,275
ÖVP,Pühret,128,123
ÖVP,Rüstorf,325,325
ÖVP,Vöcklabruck,31989,28530
ÖVP,Kirchschlag bei Linz,452,443
ÖVP,Ottensheim,771,798
ÖVP,Lichtenau im Mühlkreis,135,143
ÖVP,Niederwaldkirchen,485,477
ÖVP,Münzkirchen,676,593
ÖVP,Rainbach im Innkreis,376,354
ÖVP,Krenglbach,567,546
ÖVP,Marchtrenk,1657,1386
SPÖ,Munderfing,278,329
SPÖ,Perwang am Grabensee,41,88
SPÖ,St.Pantaleon,267,350
SPÖ,St.Veit im Innkreis,48,50
SPÖ,Treubach,20,32
SPÖ,Freistadt,10175,13221
SPÖ,Kefermarkt,293,350
SPÖ,Tragwein,469,588
SPÖ,Weitersfelden,94,139
SPÖ,Altheim,478,661
SPÖ,Helpfau-Uttendorf,231,282
SPÖ,Kirchberg bei Mattighofen,48,80
SPÖ,Lengau,480,659
SPÖ,Maria Schmolln,77,118
SPÖ,Allerheiligen im Mühlkreis,170,196
SPÖ,Dimbach,104,133
SPÖ,Langenstein,530,618
SPÖ,Luftenberg an der Donau,661,848
SPÖ,Pabneukirchen,130,165
SPÖ,Windhaag bei Perg,101,125
SPÖ,Ried im Innkreis,971,8757
SPÖ,Obernberg am Inn,97,147
SPÖ,Senftenbach,42,83
SPÖ,Waldzell,194,249
SPÖ,Haslach an der Mühl,331,429
SPÖ,Geboltskirchen,177,206
SPÖ,Meggenhofen,102,164
SPÖ,Pollham,59,97
SPÖ,St.Thomas,42,52
SPÖ,Waizenkirchen,243,348
SPÖ,Wendling,56,61
FPÖ,St.Pantaleon,252,483
FPÖ,Fraham,216,416
FPÖ,Hartkirchen,567,862
FPÖ,Gutau,238,340
FPÖ,Leopoldschlag,92,160
FPÖ,Unterweißenbach,241,430
FPÖ,Wartberg ob der Aist,397,619
FPÖ,Eggelsberg,256,423
FPÖ,Kirchberg bei Mattighofen,136,214
FPÖ,Traun,1748,3121
FPÖ,Allerheiligen im Mühlkreis,126,202
FPÖ,St.Georgen an der Gusen,290,517
FPÖ,Waldhausen im Strudengau,253,454
FPÖ,Windhaag bei Perg,119,218
FPÖ,Ried im Innkreis,982,13365
FPÖ,Gurten,144,198
FPÖ,Mehrnbach,296,439
FPÖ,Ort im Innkreis,162,260
FPÖ,St.Marienkirchen am Hausruck,115,177
FPÖ,Tumeltsham,162,260
FPÖ,Utzenaich,159,255
FPÖ,Waldzell,275,438
FPÖ,Atzesberg,65,93
FPÖ,Haslach an der Mühl,196,318
FPÖ,Gallspach,297,432
FPÖ,Meggenhofen,121,214
FPÖ,Natternbach,247,479
FPÖ,Neukirchen am Walde,204,305
FPÖ,Weibern,120,218
FPÖ,Grünburg,389,629
FPÖ,Nußbach,158,314
FPÖ,Steinbach am Ziehberg,79,142
FPÖ,Eggendorf im Traunkreis,85,150
FPÖ,Großraming,221,372
FPÖ,Aurach am Hongar,218,371
KPÖ,St.Ulrich im Mühlkreis,4,4
KPÖ,Rohrbach-Berg,11,14
KPÖ,Schärding,163,128
KPÖ,Brunnenthal,7,6
KPÖ,Freinberg,0,1
KPÖ,Kopfing im Innkreis,4,5
KPÖ,Schleißheim,1,4
KPÖ,Weißkirchen an der Traun,9,11
NEOS,Kefermarkt,54,59
NEOS,Königswiesen,64,52
NEOS,Tragwein,105,77
NEOS,Braunau am Inn,349,2604
NEOS,Gilgenberg am Weilhart,42,29
NEOS,Lengau,108,89
NEOS,Mining,35,17
NEOS,Neuhofen an der Krems,250,173
NEOS,Münzbach,38,32
NEOS,Naarn im Machlande,110,85
NEOS,Lambrechten,36,22
NEOS,Ort im Innkreis,28,21
NEOS,Pramet,26,14
NEOS,Reichersberg,32,22
NEOS,Tumeltsham,59,48
NEOS,Kirchberg ob der Donau,46,28
NEOS,Bad Goisern am Hallstättersee,224,154
NEOS,Laakirchen,251,159
NEOS,Aistersheim,31,26
NEOS,Gaspoltshofen,125,86
NEOS,Peuerbach,173,41
NEOS,St.Thomas,9,11
NEOS,Taufkirchen an der Trattnach,42,39
NEOS,Micheldorf in Oberösterreich,200,178
NEOS,Pettenbach,189,139
NEOS,Vorderstoder,23,13
NEOS,St.Roman,51,43
NEOS,Schardenberg,59,53
NEOS,Sigharting,36,19
NEOS,Aschach an der Steyr,101,93
NEOS,Attnang-Puchheim,157,108
NEOS,Atzbach,55,34
NEOS,Frankenburg am Hausruck,138,103
NEOS,Oberndorf bei Schwanenstadt,54,30
NEOS,Redlham,65,30
NEOS,Schwanenstadt,108,93
NEOS,Unterach am Attersee,42,25
NEOS,Reichraming,32,23
NEOS,Alberndorf in der Riedmark,142,102
NEOS,Schenkenfelden,73,45
NEOS,Lembach im Mühlkreis,45,28
NEOS,Niederkappel,35,23
NEOS,Oepping,55,39
NEOS,Altschwendt,17,13
NEOS,Esternberg,68,48
NEOS,Münzkirchen,68,40
NEOS,Weyregg am Attersee,85,42
NEOS,Wolfsegg am Hausruck,44,36
NEOS,Bad Wimsbach-Neydharting,85,52
NEOS,Fischlham,60,32
NEOS,Stadl-Paura,103,83
NEOS,Steinerkirchen an der Traun,100,68
NEOS,Thalheim bei Wels,264,185
SPÖ,Grünburg,419,479
SPÖ,Nußbach,192,238
SPÖ,Oberschlierbach,34,59
SPÖ,Vorderstoder,39,54
SPÖ,Waldkirchen am Wesen,96,150
SPÖ,Aschach an der Steyr,257,356
SPÖ,Frankenburg am Hausruck,660,794
SPÖ,Innerschwand,37,56
SPÖ,Neukirchen an der Vöckla,251,309
SPÖ,Nußdorf am Attersee,50,80
SPÖ,Pitzenberg,43,75
SPÖ,Puchkirchen am Trattberg,81,130
SPÖ,Regau,702,992
SPÖ,Timelkam,712,1001
SPÖ,Vöcklamarkt,387,619
SPÖ,Weißenkirchen im Attergau,49,74
SPÖ,Bad Leonfelden,277,446
SPÖ,Eidenberg,148,241
SPÖ,Schenkenfelden,94,170
SPÖ,Zwettl an der Rodl,159,237
SPÖ,Kleinzell im Mühlkreis,159,231
SPÖ,Niederkappel,45,67
SPÖ,Pfarrkirchen im Mühlkreis,68,99
SPÖ,Sarleinsbach,145,191
SPÖ,Riedau,215,285
SPÖ,Offenhausen,105,169
SPÖ,Pennewang,34,68
SPÖ,Steinerkirchen an der Traun,111,194
SPÖ,Thalheim bei Wels,464,693
SPÖ,Weißkirchen an der Traun,359,494
KPÖ,Perwang am Grabensee,2,0
KPÖ,Roßbach,6,0
KPÖ,St.Johann am Walde,5,6
KPÖ,St.Pantaleon,7,9
KPÖ,St.Radegund,2,1
KPÖ,Ueberackern,0,2
KPÖ,Hinzenbach,5,4
KPÖ,Leopoldschlag,2,3
KPÖ,Pierbach,0,1
KPÖ,Pregarten,12,23
KPÖ,St.Leonhard bei Freistadt,5,5
KPÖ,Oberösterreich,4750,5426
KPÖ,Aspach,5,6
KPÖ,Franking,4,1
KPÖ,Helpfau-Uttendorf,7,10
KPÖ,Perg,214,208
KPÖ,Klam,1,2
KPÖ,St.Georgen an der Gusen,16,17
KPÖ,St.Nikola an der Donau,5,2
KPÖ,Ried im Innkreis,24,162
KPÖ,Geinberg,4,1
KPÖ,Hohenzell,2,1
KPÖ,Schildorn,6,5
KPÖ,Taiskirchen im Innkreis,2,6
KPÖ,Hörbich,0,1
KPÖ,St.Wolfgang im Salzkammergut,9,6
KPÖ,Traunkirchen,3,4
KPÖ,Gallspach,3,7
KPÖ,Neumarkt im Hausruckkreis,5,1
KPÖ,Peuerbach,9,4
KPÖ,Nußbach,3,8
KPÖ,Windischgarsten,4,7
KPÖ,Linz-Land,415,461
KPÖ,Kematen an der Krems,7,6
KPÖ,Suben,0,0
KPÖ,Taufkirchen an der Pram,6,4
KPÖ,Vichtenstein,1,1
KPÖ,Großraming,7,4
KPÖ,Atzbach,2,2
KPÖ,Innerschwand,4,6
KPÖ,Regau,16,21
KPÖ,Rüstorf,8,0
KPÖ,Seewalchen am Attersee,18,13
KPÖ,Weißenkirchen im Attergau,3,5
KPÖ,Alberndorf in der Riedmark,9,10
KPÖ,Gallneukirchen,20,22
SLP,Pfaffstätt,1,0
SLP,St.Veit im Innkreis,0,0
SLP,Schwand im Innkreis,0,0
SLP,Alkoven,1,1
SLP,Freistadt,25,8
SLP,Leopoldschlag,0,0
SLP,Tragwein,1,0
SLP,Gmunden,35,30
SLP,Altmünster,1,1
SLP,Bad Goisern am Hallstättersee,2,0
SLP,Linz,114,63
SLP,Altheim,1,0
SLP,Auerbach,0,0
SLP,Burgkirchen,0,0
SLP,Franking,0,0
SLP,Kirchberg bei Mattighofen,0,0
SLP,Munderfing,0,0
SLP,Perg,24,8
SLP,Arbing,0,0
SLP,Schwertberg,1,1
SLP,Neuhofen im Innkreis,0,0
SLP,Schildorn,0,0
SLP,Wippenham,0,0
