PARTEI,WAHLKREIS,'29.09.19','15.10.17'
SPÖ,Wels,14265,18404
KPÖ,St.Georgen b. Obernberg am Inn,1,0
NEOS,St.Georgen b. Obernberg am Inn,18,13
FPÖ,Regau,723,1131
FPÖ,Rohr im Kremstal,113,212
FPÖ,Ternberg,320,510
FPÖ,Wolfern,298,463
FPÖ,Bad Leonfelden,343,592
FPÖ,Lichtenberg,175,262
FPÖ,Oberneukirchen,250,457
FPÖ,Puchenau,244,420
FPÖ,St.Gotthard im Mühlkreis,102,174
FPÖ,Oepping,157,260
FPÖ,Diersbach,211,304
FPÖ,Engelhartszell,94,150
FPÖ,Rainbach im Innkreis,213,306
FPÖ,Weyregg am Attersee,106,206
FPÖ,Wels-Land,9025,13835
FPÖ,Buchkirchen,424,740
FPÖ,Gunskirchen,637,1046
FPÖ,Thalheim bei Wels,477,773
GRÜNE,Moosbach,35,18
GRÜNE,Moosdorf,61,12
GRÜNE,Polling im Innkreis,20,5
GRÜNE,St.Johann am Walde,73,18
GRÜNE,St.Pantaleon,109,25
GRÜNE,Alkoven,405,86
GRÜNE,Fraham,134,40
GRÜNE,Pupping,111,33
GRÜNE,Grünbach,92,18
GRÜNE,Gutau,173,56
GRÜNE,Leopoldschlag,57,17
GRÜNE,Neumarkt im Mühlkreis,258,93
GRÜNE,St.Leonhard bei Freistadt,51,19
GRÜNE,Unterweitersdorf,152,42
GRÜNE,Steyr,4907,1355
GRÜNE,Helpfau-Uttendorf,83,25
GRÜNE,Höhnhart,37,3
GRÜNE,Oftering,130,24
GRÜNE,Piberbach,92,36
GRÜNE,Grein,129,33
GRÜNE,Bad Kreuzen,79,40
GRÜNE,Münzbach,66,10
GRÜNE,Schwertberg,346,88
GRÜNE,Andrichsfurt,38,9
GRÜNE,Kirchheim im Innkreis,29,5
GRÜNE,Mörschwang,34,16
GRÜNE,Utzenaich,79,27
GRÜNE,Weilbach,26,10
GRÜNE,Atzesberg,17,4
GRÜNE,Auberg,26,13
GRÜNE,Julbach,38,7
GRÜNE,Grünau im Almtal,88,32
GRÜNE,Hallstatt,62,15
GRÜNE,Obertraun,41,6
GRÜNE,Scharnstein,303,75
GRÜNE,Gallspach,103,42
GRÜNE,Weibern,108,40
GRÜNE,Kirchdorf an der Krems,342,1307
GRÜNE,Rosenau am Hengstpaß,9,0
GRÜNE,Linz-Land,11290,2993
GRÜNE,Ansfelden,578,148
GRÜNE,Schardenberg,81,26
