PARTEI,WAHLKREIS,'29.09.19','15.10.17'
ÖVP,Hargelsberg,301,292
ÖVP,St.Roman,563,469
ÖVP,Waldkirchen am Wesen,341,339
ÖVP,Zell an der Pram,482,496
ÖVP,Großraming,588,592
ÖVP,Attnang-Puchheim,780,704
ÖVP,Frankenmarkt,733,699
ÖVP,Oberndorf bei Schwanenstadt,249,223
ÖVP,Puchkirchen am Trattberg,225,238
ÖVP,Regau,1161,1004
ÖVP,Rutzenham,82,69
ÖVP,Schörfling am Attersee,487,461
ÖVP,Seewalchen am Attersee,905,796
ÖVP,Timelkam,909,781
ÖVP,Vöcklamarkt,996,947
ÖVP,Schiedlberg,389,398
ÖVP,Wolfern,731,684
ÖVP,Goldwörth,210,190
ÖVP,Herzogsdorf,666,629
ÖVP,Puchenau,715,755
ÖVP,Reichenthal,435,388
ÖVP,Steyregg,830,761
ÖVP,Ampflwang im Hausruckwald,442,377
ÖVP,Kollerschlag,457,422
ÖVP,Lembach im Mühlkreis,359,360
ÖVP,Oberkappel,209,196
ÖVP,Putzleinsdorf,440,464
ÖVP,St.Martin im Mühlkreis,924,902
ÖVP,Diersbach,376,357
ÖVP,Dorf an der Pram,325,316
